geocoded_address,event_date,year,CSA2010
"4408 MARBLE HALL ROAD, MD, 21218",10/31/05,2005,Northwood
"4100 MAINE AVE, BALTIMORE, MD, 21207",10/31/05,2005,Howard Park/West Arlington
"1416 MASON ST, BALTIMORE, MD, 21217",10/31/05,2005,Midtown
"3400 ALTO ROAD, BALTIMORE, MD, 21216",11/1/05,2005,Forest Park/Walbrook
"2100 W PRATT ST, BALTIMORE, MD, 21223",11/1/05,2005,Southwest Baltimore
"900 ALLENDALE ST, BALTIMORE, MD, 21229",11/2/05,2005,Edmondson Village
"3601 10TH ST, BALTIMORE, MD, 21225",11/2/05,2005,Brooklyn/Curtis Bay/Hawkins Point
"2500 BOARMAN AVE, MD, 21215",11/2/05,2005,Southern Park Heights
"2400 FREDERICK AVE, BALTIMORE, MD, 21223",11/2/05,2005,Southwest Baltimore
"2027 E 31ST ST, BALTIMORE, MD, 21218",11/7/05,2005,Midway/Coldstream
"500 CRAYCOMBE AVE, BALTIMORE, MD, 21218",11/10/05,2005,Medfield/Hampden/Woodberry/Remington
"4800 HOMER AVE, BALTIMORE, MD, 21215",11/12/05,2005,Southern Park Heights
"1300 S ELLWOOD AVE, BALTIMORE, MD, 21224",11/12/05,2005,Canton
"2100 WILHELM ST, BALTIMORE, MD, 21223",11/15/05,2005,Southwest Baltimore
"1300 DALLAS ST, MD, 21213",11/17/05,2005,Greenmount East
"2111 GARRISON BLVD, BALTIMORE, MD, 21216",11/18/05,2005,Forest Park/Walbrook
"2111 GARRISON BLVD, BALTIMORE, MD, 21216",11/18/05,2005,Forest Park/Walbrook
"2535 BROOKFIELD AVE, BALTIMORE, MD, 21217",11/19/05,2005,Penn North/Reservoir Hill
"4100 EIERMAN AVE, BALTIMORE, MD, 21206",11/23/05,2005,Lauraville
"215 FURROW ST, BALTIMORE, MD, 21223",11/23/05,2005,Southwest Baltimore
"215 FURROW ST, BALTIMORE, MD, 21223",11/23/05,2005,Southwest Baltimore
"5900 MORAVIA ROAD, BALTIMORE, MD, 21206",11/26/05,2005,Claremont/Armistead
"700 N PAYSON ST, BALTIMORE, MD, 21217",11/27/05,2005,Sandtown-Winchester/Harlem Park
"1600 PRESBURY ST, MD, 21217",11/29/05,2005,Sandtown-Winchester/Harlem Park
"3900 RIDGEWOOD AVE, BALTIMORE, MD, 21215",11/30/05,2005,Dorchester/Ashburton
"5200 FLORENCE AVE, MD, 21215",12/4/05,2005,Pimlico/Arlington/Hilltop
"3800 ELLERSLIE AVE, MD, 21218",12/4/05,2005,Greater Govans
"3200 BELVEDERE AVE, MD, 21215",12/4/05,2005,Pimlico/Arlington/Hilltop
"1200 ENSOR ST, MD, 21202",12/5/05,2005,Greenmount East
"24 W 25TH ST, BALTIMORE, MD, 21218",12/8/05,2005,Greater Charles Village/Barclay
"3205 PHELPS LN, BALTIMORE, MD, 21229",12/9/05,2005,Allendale/Irvington/S. Hilton
"3205 PHELPS LN, BALTIMORE, MD, 21229",12/9/05,2005,Allendale/Irvington/S. Hilton
"6000 AMBERWOOD ROAD, BALTIMORE, MD, 21206",12/11/05,2005,Claremont/Armistead
"501 MCELDERRY ST, BALTIMORE, MD, 21202",12/15/05,2005,Oldtown/Middle East
"400 E BELVEDERE AVE, BALTIMORE, MD, 21212",12/15/05,2005,North Baltimore/Guilford/Homeland
"1700 E PRESTON ST, BALTIMORE, MD, 21213",12/16/05,2005,Greenmount East
"5100 PARK HEIGHTS AVE, BALTIMORE, MD, 21215",12/17/05,2005,Pimlico/Arlington/Hilltop
"2700 ORLEANS ST, BALTIMORE, MD, 21224",12/17/05,2005,Patterson Park North & East
"600 27TH ST, MD, 21218",12/20/05,2005,The Waverlies
"2601 MADISON AVE, BALTIMORE, MD, 21217",12/23/05,2005,Penn North/Reservoir Hill
"430 N KENWOOD AVE, BALTIMORE, MD, 21224",12/27/05,2005,Patterson Park North & East
"328 S BENTALOU ST, BALTIMORE, MD, 21223",12/27/05,2005,Southwest Baltimore
"2700 ROUND ROAD, MD, 21225",12/27/05,2005,Cherry Hill
"535 N GLOVER ST, BALTIMORE, MD, 21205",12/28/05,2005,Madison/East End
"2300 ASHBURTON ST, BALTIMORE, MD, 21216",12/30/05,2005,Greater Mondawmin
"3400 SPELMAN ROAD, BALTIMORE, MD, 21230",1/1/06,2006,Cherry Hill
"300 W FAYETTE ST, BALTIMORE, MD, 21201",1/1/06,2006,Downtown/Seton Hill
"2600 MARBOURNE AVE, BALTIMORE, MD, 21230",1/1/06,2006,Westport/Mount Winans/Lakeland
"2400 WOODBROOK AVE, MD, 21217",1/1/06,2006,Penn North/Reservoir Hill
"2600 GREENMOUNT AVE, MD, 21218",1/3/06,2006,Greater Charles Village/Barclay
"1300 BOOTH ST, MD, 21223",1/3/06,2006,Southwest Baltimore
"2801 EDMONDSON AVE, BALTIMORE, MD, 21223",1/9/06,2006,Greater Rosemont
"100 S MONASTERY AVE, BALTIMORE, MD, 21229",1/9/06,2006,Allendale/Irvington/S. Hilton
"3100 WOODLAND AVE, BALTIMORE, MD, 21215",1/13/06,2006,Pimlico/Arlington/Hilltop
"2309 E PRESTON ST, BALTIMORE, MD, 21213",1/13/06,2006,Clifton-Berea
"2200 AIKEN ST, BALTIMORE, MD, 21218",1/13/06,2006,Midway/Coldstream
"2200 AIKEN ST, BALTIMORE, MD, 21218",1/13/06,2006,Midway/Coldstream
"200 BRUCE ST, MD, 21223",1/13/06,2006,Southwest Baltimore
"1800 LOMBARD ST, MD, 21223",1/14/06,2006,Southwest Baltimore
"1310 RIGGS AVE, BALTIMORE, MD, 21217",1/15/06,2006,Sandtown-Winchester/Harlem Park
"400 S NEWKIRK ST, BALTIMORE, MD, 21224",1/15/06,2006,Orangeville/East Highlandtown
"2200 WASHINGTON BLVD, MD, 21230",1/18/06,2006,Morrell Park/Violetville
